"Queue","Count","Age"
trms_ae_ari_nsrsou_wrk_amz,5,176356
trms_ae_ari_in_transit_wrk_amz,3,393838
trms_ae_ari_psi_transfer_concession_level_wrk_amz,3,2359289
trms_ae_ari_afn_holistic_refund_approval_wrk_amz,2,10118
trms_ae_ari_email_neat_wrk_amz,2,66578
trms_ae_ari_email_ari_rcr_wrk_amz,1,29702
trms_ae_ari_email_dnr_emails_wrk_amz,1,27482
trms_ae_ari_email_mfn_emails_wrk_amz,1,70005
trms_ae_ari_email_pna_appeals_wrk_amz,1,5132767
trms_ae_ari_sellerinitiatedrefund_wrk_amz,1,8969
trms_sa_ari_email_suspect_abuse_wrk_amz,372,414029
trms_sa_ari_acclinkageinvestigation_wrk_amz,128,355859
trms_sa_ari_dnr_concessions_abuse_wrk_amz,58,402035
trms_sa_ari_concessionsabuse_flrreferrals_wrk_amz,43,184581
trms_sa_ari_mfnegregious_wrk_amz,34,375933
trms_sa_ari_email_contra_ari_wrk_amz,30,88683
trms_sa_ari_email_maa_emails_wrk_amz,29,113788
trms_sa_ari_concessionsabuserr_wrk_amz,25,122777
trms_sa_ari_nsr_concessions_abuse_wrk_amz,25,391398
trms_sa_ari_afnhighriskrefundapproval_wrk_amz,22,41974
trms_sa_pi_ari_claims_atoz_ari_abuse_abc_wrk_amz,19,61558
trms_sa_ari_buyer_claims_abuse_wrk_amz,15,401489
trms_sa_ari_email_ofm_wrk_amz,15,95358
trms_sa_ari_email_arm_appeals_wrk_amz,9,29495
trms_sa_ari_in_transit_wrk_amz,6,371266
trms_sa_ari_afnrefundapproval_wrk_amz,3,11030
trms_sa_ari_email_ari_esc_wrk_amz,3,224713
trms_sa_ari_afn_holistic_refund_approval_wrk_amz,2,8174
trms_sa_ari_mdr_cg_wrk_amz,2,2692827
trms_sa_ari_afnrrefundapproval_wrk_amz,1,12865
trms_sa_ari_email_ari_rcr_wrk_amz,1,12758
trms_sa_ari_psi_transfer_concession_level_wrk_amz,1,2359183
trms_eg_ari_account_link_age_investigation_wrk_amz,1444,355519
trms_eg_ari_email_suspect_abuse_wrk_amz,1250,420219
trms_eg_ari_email_maa_emails_wrk_amz,350,118530
trms_eg_ari_email_arm_appeals_wrk_amz,276,126625
trms_eg_ari_email_contra_ari_wrk_amz,262,97714
trms_eg_ari_mfnegregious_wrk_amz,222,1104147
trms_eg_ari_dnrconcessionsabuse_wrk_amz,190,191641
trms_eg_ari_afn_holistic_refund_approval_wrk_amz,106,16753
trms_eg_ari_retrocharge_wrk_amz,102,109265
trms_eg_ari_concessionsabuse_flrreferrals_wrk_amz,101,184358
trms_eg_ari_afnhighriskrefundapproval_wrk_amz,95,42824
trms_eg_ari_email_ofm_wrk_amz,87,96846
trms_eg_ari_nsrconcessionsabuse_wrk_amz,29,184704
trms_eg_ari_concessionsabuserr_wrk_amz,18,122820
